Player,Team,Attacking Impact,Defensive Impact,Misc Impact,Total Impact
Joël Veltman,Brighton,1.25,2.35,1.01,4.61
Abdul Fatawu Issahaku,Leicester City,3.06,2.28,0.09,5.43
Álex Moreno,Nott'ham Forest,1.75,2.28,-0.45,3.58
Mikel Merino,Arsenal,3.47,2.26,-0.96,4.77
Jesper Lindstrøm,Everton,1.61,2.23,-0.89,2.95
Wilfred Ndidi,Leicester City,1.66,2.19,-0.65,3.2
Manuel Ugarte,Manchester Utd,1.7,2.19,-0.19,3.7
Tyrick Mitchell,Crystal Palace,2.86,2.18,0.13,5.17
Tim Iroegbunam,Everton,1.66,2.17,-1.49,2.34
Nikola Milenković,Nott'ham Forest,1.14,2.08,0.56,3.78
Tosin Adarabioyo,Chelsea,1.05,2.07,2.37,5.49
Jarrad Branthwaite,Everton,0.58,2.07,1.23,3.88
Harry Maguire,Manchester Utd,0.73,2.06,1.17,3.96
Carlos Baleba,Brighton,1.83,2.06,0.5,4.39
Nathan Collins,Brentford,1.61,2.05,1.48,5.14
Diego Gómez,Brighton,4.05,2.04,-0.22,5.87
Toti Gomes,Wolves,0.94,2.04,0.98,3.96
Kieran Trippier,Newcastle Utd,4.73,2.02,1.63,8.38
Timothy Castagne,Fulham,1.55,2.0,0.6,4.15
Lucas Digne,Aston Villa,3.01,1.98,0.37,5.36
Gabriel Magalhães,Arsenal,1.92,1.97,1.83,5.72
Luke Thomas,Leicester City,1.01,1.95,0.34,3.3
Thomas Partey,Arsenal,2.9,1.94,0.93,5.77
William Saliba,Arsenal,1.26,1.9,2.21,5.37
Joelinton,Newcastle Utd,2.48,1.88,-0.92,3.44
Morato,Nott'ham Forest,0.44,1.85,-0.5,1.79
Wesley Fofana,Chelsea,1.12,1.82,0.67,3.61
Ben White,Arsenal,2.18,1.8,0.52,4.5
Marc Guéhi,Crystal Palace,1.98,1.79,1.17,4.94
Jurriën Timber,Arsenal,2.68,1.78,0.29,4.75
Ryan Yates,Nott'ham Forest,1.16,1.77,-0.34,2.59
Conor Bradley,Liverpool,3.03,1.74,0.51,5.28
Konstantinos Mavropanos,West Ham,0.1,1.73,1.57,3.4
Yehor Yarmoliuk,Brentford,1.36,1.71,0.09,3.16
Ryan Christie,Bournemouth,3.83,1.69,-0.16,5.36
Matty Cash,Aston Villa,1.55,1.67,0.1,3.32
Ryan Sessegnon,Fulham,7.75,1.64,-1.81,7.58
Ola Aina,Nott'ham Forest,2.2,1.63,0.21,4.04
Rodrigo Bentancur,Tottenham,2.06,1.61,-0.04,3.63
André,Wolves,1.45,1.61,0.69,3.75
Pedro Porro,Tottenham,4.26,1.59,0.99,6.84
Valentino Livramento,Newcastle Utd,1.89,1.59,0.99,4.47
Guido Rodríguez,West Ham,0.92,1.58,0.23,2.73
Virgil van Dijk,Liverpool,1.64,1.56,2.5,5.7
Ashley Young,Everton,3.37,1.56,0.34,5.27
Dango Ouattara,Bournemouth,3.66,1.55,-0.9,4.31
Pervis Estupiñán,Brighton,2.18,1.52,0.24,3.94
Joachim Andersen,Fulham,0.78,1.5,2.4,4.68
Dan Burn,Newcastle Utd,0.79,1.49,1.07,3.35
Marc Cucurella,Chelsea,2.23,1.48,0.93,4.64
Tyrone Mings,Aston Villa,1.03,1.46,1.89,4.38
Levi Colwill,Chelsea,1.32,1.43,1.83,4.58
Matthijs de Ligt,Manchester Utd,0.67,1.42,1.72,3.81
Joe Willock,Newcastle Utd,3.2,1.42,-1.35,3.27
Oleksandr Zinchenko,Arsenal,2.97,1.4,0.95,5.32
Jean-Clair Todibo,West Ham,0.3,1.38,1.07,2.75
Amadou Onana,Aston Villa,2.21,1.37,0.61,4.19
Ryan Gravenberch,Liverpool,2.46,1.33,0.74,4.53
Sepp van den Berg,Brentford,0.54,1.32,0.67,2.53
Aaron Cresswell,West Ham,1.23,1.3,1.33,3.86
Vitaliy Mykolenko,Everton,1.72,1.25,0.54,3.51
Youri Tielemans,Aston Villa,4.19,1.25,1.27,6.71
Lisandro Martínez,Manchester Utd,1.8,1.24,1.38,4.42
Lewis Cook,Bournemouth,3.08,1.23,-0.08,4.23
Gabriel Jesus,Arsenal,3.01,1.22,-1.44,2.79
João Gomes,Wolves,1.85,1.22,-0.38,2.69
Jan Paul van Hecke,Brighton,1.7,1.17,2.15,5.02
Diogo Dalot,Manchester Utd,2.23,1.15,0.08,3.46
Malo Gusto,Chelsea,2.31,1.14,1.17,4.62
Adam Webster,Brighton,1.54,1.09,1.98,4.61
Declan Rice,Arsenal,4.33,1.05,0.56,5.94
Nico O’Reilly,Manchester City,3.28,1.05,-0.37,3.96
Santiago Bueno,Wolves,0.64,1.03,0.8,2.47
Djed Spence,Tottenham,2.4,1.02,0.35,3.77
Sander Berge,Fulham,1.84,1.0,0.67,3.51
Kasey McAteer,Leicester City,2.25,0.93,-1.05,2.13
Edson Álvarez,West Ham,1.23,0.93,-0.2,1.96
Sandro Tonali,Newcastle Utd,3.1,0.93,0.86,4.89
Joško Gvardiol,Manchester City,2.36,0.88,1.99,5.23
Justin Devenny,Crystal Palace,3.27,0.88,-1.18,2.97
Ben Davies,Tottenham,0.51,0.87,1.64,3.02
Matt Doherty,Wolves,1.71,0.84,1.08,3.63
Nicolás González,Manchester City,1.92,0.79,0.53,3.24
Trevoh Chalobah,Chelsea,1.42,0.79,1.74,3.95
Max Kilman,West Ham,0.95,0.78,1.45,3.18
Jefferson Lerma,Crystal Palace,1.25,0.77,0.37,2.39
Ian Maatsen,Aston Villa,4.33,0.71,0.16,5.2
Marshall Munetsi,Wolves,1.4,0.71,-1.12,0.99
Iliman Ndiaye,Everton,3.31,0.69,0.09,4.09
Aaron Wan-Bissaka,West Ham,3.51,0.68,0.49,4.68
Kevin Schade,Brentford,3.62,0.65,-0.58,3.69
Dara O'Shea,Ipswich Town,0.52,0.65,1.12,2.29
Mateo Kovačić,Manchester City,3.66,0.64,1.62,5.92
Ethan Nwaneri,Arsenal,5.06,0.63,-0.5,5.19
Boubacar Kamara,Aston Villa,1.42,0.63,0.94,2.99
Jeremy Doku,Manchester City,7.88,0.63,-0.35,8.16
Kristoffer Ajer,Brentford,0.92,0.59,-0.17,1.34
Antoine Semenyo,Bournemouth,3.44,0.59,-1.4,2.63
Yankuba Minteh,Brighton,5.46,0.58,-1.22,4.82
Kobbie Mainoo,Manchester Utd,1.27,0.56,-0.49,1.34
Calvin Bassey,Fulham,0.75,0.52,1.66,2.93
Tomáš Souček,West Ham,1.96,0.51,-0.38,2.09
Bruno Guimarães,Newcastle Utd,4.54,0.5,0.76,5.8
Will Hughes,Crystal Palace,2.62,0.5,-0.92,2.2
Daichi Kamada,Crystal Palace,1.9,0.49,-0.01,2.38
Pape Matar Sarr,Tottenham,2.28,0.41,0.36,3.05
Rayan Aït-Nouri,Wolves,3.71,0.4,0.3,4.41
Emerson Palmieri,West Ham,2.02,0.38,0.04,2.44
Yasin Ayari,Brighton,2.53,0.38,-0.16,2.75
Bruno Fernandes,Manchester Utd,6.02,0.37,0.96,7.35
Fabian Schär,Newcastle Utd,1.02,0.36,1.38,2.76
Vladimír Coufal,West Ham,1.33,0.26,-0.08,1.51
Jacob Greaves,Ipswich Town,0.75,0.22,0.98,1.95
Matheus Nunes,Manchester City,4.72,0.2,0.5,5.42
Reece James,Chelsea,2.04,0.16,1.7,3.9
Abdukodir Khusanov,Manchester City,0.84,0.13,1.87,2.84
Issa Diop,Fulham,0.34,0.04,1.21,1.59
Ethan Pinnock,Brentford,1.3,0.02,1.35,2.67
Amad Diallo,Manchester Utd,7.3,0.01,-0.06,7.25
Kevin Danso,Tottenham,0.66,0.01,2.01,2.68
Myles Lewis-Skelly,Arsenal,2.22,0.01,1.96,4.19
Rico Lewis,Manchester City,2.23,0.01,1.37,3.61
Luis Díaz,Liverpool,6.64,0.01,-0.55,6.1
Michael Keane,Everton,1.37,0.0,0.35,1.72
Victor Bernth Kristiansen,Leicester City,1.77,-0.02,0.68,2.43
Adam Smith,Bournemouth,1.38,-0.02,-0.11,1.25
Micky van de Ven,Tottenham,1.78,-0.03,2.13,3.88
Saša Lukić,Fulham,2.01,-0.03,-0.09,1.89
Abdoulaye Doucouré,Everton,1.95,-0.05,-0.97,0.93
Bernardo Silva,Manchester City,4.1,-0.06,0.8,4.84
Jan Bednarek,Southampton,0.89,-0.09,1.47,2.27
Mikkel Damsgaard,Brentford,5.31,-0.14,0.18,5.35
Dominik Szoboszlai,Liverpool,4.86,-0.15,0.02,4.73
Rúben Dias,Manchester City,0.81,-0.16,2.91,3.56
Mario Lemina,Wolves,2.38,-0.17,0.12,2.33
Facundo Buonanotte,Leicester City,3.27,-0.2,-1.27,1.8
Nélson Semedo,Wolves,2.29,-0.22,-0.11,1.96
Roméo Lavia,Chelsea,2.21,-0.22,0.25,2.24
Dominic Calvert-Lewin,Everton,0.1,-0.25,-1.73,-1.88
Jota Silva,Nott'ham Forest,3.38,-0.26,-1.35,1.77
Nathan Aké,Manchester City,0.9,-0.29,1.97,2.58
James Justin,Leicester City,1.2,-0.3,0.63,1.53
Andrew Robertson,Liverpool,2.97,-0.31,1.26,3.92
Orel Mangala,Everton,1.16,-0.32,0.15,0.99
Igor,Brighton,1.32,-0.32,1.9,2.9
Kai Havertz,Arsenal,2.94,-0.33,-1.09,1.52
Rodrigo Muniz,Fulham,3.48,-0.33,-0.62,2.53
Leandro Trossard,Arsenal,4.22,-0.35,-0.2,3.67
Kaoru Mitoma,Brighton,4.53,-0.35,-0.51,3.67
Milos Kerkez,Bournemouth,3.2,-0.35,0.57,3.42
Darwin Núñez,Liverpool,3.37,-0.36,-1.76,1.25
Marcus Tavernier,Bournemouth,4.36,-0.36,-0.57,3.43
Bukayo Saka,Arsenal,8.58,-0.42,0.2,8.36
Jack Stephens,Southampton,0.99,-0.48,1.58,2.09
Diogo Jota,Liverpool,3.73,-0.5,-1.31,1.92
Ross Barkley,Aston Villa,4.67,-0.5,0.05,4.22
Jakub Kiwior,Arsenal,1.22,-0.5,1.52,2.24
Vitaly Janelt,Brentford,1.97,-0.52,0.47,1.92
Omar Marmoush,Manchester City,3.08,-0.53,-0.64,1.91
Jacob Murphy,Newcastle Utd,6.58,-0.54,-0.22,5.82
Wout Faes,Leicester City,0.49,-0.55,1.21,1.15
Harry Wilson,Fulham,3.99,-0.58,0.43,3.84
Yves Bissouma,Tottenham,1.4,-0.59,-0.03,0.78
Cody Gakpo,Liverpool,5.6,-0.59,-0.35,4.66
Raúl Jiménez,Fulham,2.45,-0.62,-0.83,1.0
Adam Wharton,Crystal Palace,3.96,-0.62,0.91,4.25
Victor Lindelöf,Manchester Utd,0.82,-0.62,1.05,1.25
Curtis Jones,Liverpool,3.55,-0.66,0.77,3.66
Axel Tuanzebe,Ipswich Town,1.18,-0.66,0.34,0.86
Enzo Fernández,Chelsea,5.41,-0.68,0.84,5.57
Cameron Burgess,Ipswich Town,1.13,-0.69,1.17,1.61
Jean-Ricner Bellegarde,Wolves,4.78,-0.7,0.0,4.08
Morgan Gibbs-White,Nott'ham Forest,4.96,-0.73,-0.43,3.8
Keane Lewis-Potter,Brentford,2.59,-0.77,0.25,2.07
Beto,Everton,1.67,-0.77,-1.94,-1.04
Caleb Okoli,Leicester City,0.71,-0.79,0.69,0.61
Manuel Akanji,Manchester City,1.45,-0.83,2.09,2.71
Callum Hudson-Odoi,Nott'ham Forest,4.82,-0.9,0.22,4.14
Lucas Bergvall,Tottenham,1.79,-0.91,0.51,1.39
Mathias Jensen,Brentford,5.0,-0.93,0.7,4.77
Leny Yoro,Manchester Utd,0.58,-0.93,1.1,0.75
Sávio,Manchester City,6.63,-0.94,-0.02,5.67
Taylor Harwood-Bellis,Southampton,0.93,-0.96,1.56,1.53
Ezri Konsa,Aston Villa,1.05,-0.98,2.05,2.12
Ryan Manning,Southampton,2.88,-1.0,1.04,2.92
Rodrigo Gomes,Wolves,3.5,-1.01,-0.32,2.17
Noni Madueke,Chelsea,3.65,-1.01,-0.41,2.23
Jacob Ramsey,Aston Villa,3.63,-1.01,-0.1,2.52
Gabriel Martinelli,Arsenal,4.19,-1.02,-0.42,2.75
John McGinn,Aston Villa,3.12,-1.04,0.49,2.57
Lewis Dunk,Brighton,0.74,-1.05,2.8,2.49
Martin Ødegaard,Arsenal,6.25,-1.11,0.68,5.82
Jáder Durán,Aston Villa,4.07,-1.12,-1.18,1.77
Jack Hinshelwood,Brighton,3.14,-1.13,0.35,2.36
Pau Torres,Aston Villa,0.77,-1.14,1.72,1.35
Emile Smith Rowe,Fulham,4.14,-1.15,0.26,3.25
Christian Eriksen,Manchester Utd,5.02,-1.18,0.51,4.35
Ben Johnson,Ipswich Town,2.44,-1.18,-1.22,0.04
Nicolas Jackson,Chelsea,3.41,-1.19,-1.3,0.92
João Pedro,Brighton,6.17,-1.21,-0.57,4.39
Jack Harrison,Everton,1.78,-1.24,-0.33,0.21
Marco Asensio,Aston Villa,3.87,-1.25,-0.21,2.41
Alex Iwobi,Fulham,5.16,-1.26,0.18,4.08
Mason Mount,Manchester Utd,1.14,-1.29,-1.14,-1.29
Christopher Nkunku,Chelsea,3.93,-1.29,-0.58,2.06
Evanilson,Bournemouth,2.62,-1.3,-0.19,1.13
Eberechi Eze,Crystal Palace,4.19,-1.34,0.56,3.41
Diego Carlos,Aston Villa,0.27,-1.34,1.86,0.79
Mads Roerslev,Brentford,2.59,-1.35,0.64,1.88
İlkay Gündoğan,Manchester City,4.61,-1.36,1.48,4.73
Jannik Vestergaard,Leicester City,0.42,-1.36,1.34,0.4
Lucas Paquetá,West Ham,2.54,-1.37,-0.05,1.12
Eddie Nketiah,Crystal Palace,1.64,-1.39,-1.33,-1.08
Luke Woolfenden,Ipswich Town,0.22,-1.39,1.15,-0.02
Bryan Mbeumo,Brentford,6.45,-1.42,-0.34,4.69
Ismaila Sarr,Crystal Palace,4.58,-1.48,-0.1,3.0
Kalvin Phillips,Ipswich Town,0.7,-1.5,-0.2,-1.0
Dejan Kulusevski,Tottenham,5.63,-1.56,-1.16,2.91
David Brooks,Bournemouth,3.56,-1.57,-0.25,1.74
Morgan Rogers,Aston Villa,4.92,-1.59,-1.2,2.13
Pedro Neto,Chelsea,4.07,-1.62,0.03,2.48
Jack Grealish,Manchester City,6.36,-1.63,1.33,6.06
John Stones,Manchester City,3.54,-1.63,1.9,3.81
Jack Taylor,Ipswich Town,1.07,-1.63,-0.23,-0.79
Brennan Johnson,Tottenham,3.85,-1.65,-0.35,1.85
Anthony Gordon,Newcastle Utd,4.52,-1.66,0.87,3.73
Mateus Fernandes,Southampton,2.35,-1.66,0.2,0.89
Kyle Walker,Manchester City,1.42,-1.69,1.53,1.26
Cole Palmer,Chelsea,6.11,-1.72,0.86,5.25
Anthony Elanga,Nott'ham Forest,5.94,-1.79,-0.09,4.06
Sam Morsy,Ipswich Town,1.74,-1.8,0.34,0.28
Kevin De Bruyne,Manchester City,6.74,-1.8,0.54,5.48
Mohamed Salah,Liverpool,9.36,-1.85,-0.53,6.98
Carlos Soler,West Ham,2.3,-1.87,-0.04,0.39
Jean-Philippe Mateta,Crystal Palace,3.26,-1.89,-0.93,0.44
Jarrod Bowen,West Ham,4.96,-1.94,-0.22,2.8
Jorginho,Arsenal,1.54,-1.97,0.34,-0.09
Chris Wood,Nott'ham Forest,3.5,-1.97,-0.73,0.8
Harry Winks,Leicester City,2.42,-1.98,1.13,1.57
Boubakary Soumaré,Leicester City,1.35,-2.0,0.39,-0.26
Radu Drăgușin,Tottenham,0.62,-2.01,1.94,0.55
Simon Adingra,Brighton,3.64,-2.02,-0.9,0.72
James Maddison,Tottenham,7.95,-2.04,1.49,7.4
Justin Kluivert,Bournemouth,6.09,-2.06,-0.83,3.2
Paul Onuachu,Southampton,0.74,-2.1,-2.57,-3.93
Erling Haaland,Manchester City,4.11,-2.12,-0.78,1.21
Leon Bailey,Aston Villa,3.1,-2.12,-0.63,0.35
Harvey Barnes,Newcastle Utd,4.84,-2.2,-0.05,2.59
Tom Cairney,Fulham,5.06,-2.2,2.58,5.44
Tariq Lamptey,Brighton,3.77,-2.21,0.26,1.82
Adama Traoré,Fulham,5.48,-2.23,-0.23,3.02
Jens Cajuste,Ipswich Town,1.66,-2.24,0.26,-0.32
Stephy Mavididi,Leicester City,3.46,-2.25,-0.63,0.58
Jadon Sancho,Chelsea,5.59,-2.26,0.12,3.45
Leif Davis,Ipswich Town,3.03,-2.27,0.29,1.05
Alejandro Garnacho,Manchester Utd,2.47,-2.28,0.01,0.2
Flynn Downes,Southampton,1.28,-2.28,0.04,-0.96
Lesley Ugochukwu,Southampton,1.56,-2.29,-0.18,-0.91
Yoane Wissa,Brentford,3.92,-2.3,-0.45,1.17
Andreas Pereira,Fulham,4.35,-2.37,-0.08,1.9
Danny Welbeck,Brighton,3.55,-2.44,-0.44,0.67
Nathan Wood-Gordon,Southampton,0.21,-2.46,1.18,-1.07
Joe Aribo,Southampton,1.75,-2.48,0.76,0.03
Mohammed Kudus,West Ham,2.76,-2.54,-0.32,-0.1
Phil Foden,Manchester City,4.79,-2.57,0.94,3.16
Alisson,Liverpool,0.63,-2.59,1.41,-0.55
Georginio Rutter,Brighton,3.32,-2.59,-0.71,0.02
Matheus Cunha,Wolves,5.66,-2.59,-0.09,2.98
Craig Dawson,Wolves,0.46,-2.59,1.62,-0.51
Nathan Broadhead,Ipswich Town,3.06,-2.68,-0.16,0.22
Dwight McNeil,Everton,7.25,-2.69,0.39,4.95
Jack Clarke,Ipswich Town,4.13,-2.69,-0.07,1.37
Kamaldeen Sulemana,Southampton,1.18,-2.7,-1.23,-2.75
Joshua Zirkzee,Manchester Utd,2.04,-2.71,-0.9,-1.57
Sammie Szmodics,Ipswich Town,1.47,-2.72,-0.74,-1.99
Martin Dúbravka,Newcastle Utd,0.41,-2.75,1.4,-0.94
James Bree,Southampton,1.71,-2.77,0.98,-0.08
Brajan Gruda,Brighton,7.87,-2.78,-0.27,4.82
Ollie Watkins,Aston Villa,4.44,-2.86,-0.78,0.8
George Hirst,Ipswich Town,3.14,-2.9,-1.75,-1.51
Conor Coady,Leicester City,0.67,-2.93,1.56,-0.7
Alexander Isak,Newcastle Utd,5.93,-2.94,-0.85,2.14
Jordan Ayew,Leicester City,2.23,-3.0,-0.36,-1.13
Bilal El Khannouss,Leicester City,3.41,-3.0,-0.26,0.15
Timo Werner,Tottenham,5.67,-3.03,-0.1,2.54
Matt O'Riley,Brighton,4.58,-3.05,0.05,1.58
David Raya,Arsenal,0.47,-3.1,1.39,-1.24
Dominic Solanke,Tottenham,2.42,-3.11,-1.04,-1.73
Kyle Walker-Peters,Southampton,1.98,-3.12,0.98,-0.16
Patson Daka,Leicester City,0.15,-3.13,-0.5,-3.48
Jordan Pickford,Everton,0.66,-3.2,1.69,-0.85
Matz Sels,Nott'ham Forest,0.41,-3.22,0.91,-1.9
Niclas Füllkrug,West Ham,3.78,-3.22,-1.63,-1.07
Pablo Sarabia,Wolves,5.01,-3.27,-0.41,1.33
Ederson,Manchester City,1.45,-3.33,1.61,-0.27
Dean Henderson,Crystal Palace,0.34,-3.33,0.97,-2.02
Son Heung-min,Tottenham,6.79,-3.38,0.54,3.95
Richarlison,Tottenham,3.7,-3.42,-0.42,-0.14
Jørgen Strand Larsen,Wolves,3.48,-3.46,-1.58,-1.56
Crysencio Summerville,West Ham,3.6,-3.48,0.06,0.18
Archie Gray,Tottenham,0.57,-3.55,1.38,-1.6
Emiliano Martínez,Aston Villa,0.45,-3.58,1.63,-1.5
Oliver Skipp,Leicester City,0.97,-3.62,-0.41,-3.06
Kepa Arrizabalaga,Bournemouth,0.38,-3.68,1.42,-1.88
André Onana,Manchester Utd,0.32,-3.72,1.47,-1.93
Caoimhín Kelleher,Liverpool,0.7,-3.74,1.44,-1.6
Tyler Dibling,Southampton,2.3,-3.74,-0.34,-1.78
Bernd Leno,Fulham,0.56,-3.8,1.53,-1.71
Michail Antonio,West Ham,1.84,-3.86,-1.5,-3.52
Conor Chaplin,Ipswich Town,1.79,-3.9,-0.28,-2.39
Wes Burns,Ipswich Town,1.74,-3.93,-0.17,-2.36
Nick Pope,Newcastle Utd,0.46,-3.93,1.09,-2.38
Yukinari Sugawara,Southampton,2.26,-3.95,0.37,-1.32
Jakub Stolarczyk,Leicester City,0.19,-3.96,1.11,-2.66
Rasmus Højlund,Manchester Utd,1.23,-3.96,-0.8,-3.53
Bobby De Cordova-Reid,Leicester City,3.17,-4.01,-0.59,-1.43
Robert Sánchez,Chelsea,0.53,-4.02,1.28,-2.21
Mark Flekken,Brentford,0.86,-4.04,2.13,-1.05
Liam Delap,Ipswich Town,3.04,-4.13,-2.09,-3.18
Omari Hutchinson,Ipswich Town,2.45,-4.16,-0.4,-2.11
Wilson Odobert,Tottenham,1.53,-4.18,-0.46,-3.11
Hwang Hee-chan,Wolves,2.49,-4.23,-0.17,-1.91
Jamie Vardy,Leicester City,2.24,-4.26,-0.42,-2.44
Mathys Tel,Tottenham,2.74,-4.3,-0.65,-2.21
José Sá,Wolves,0.44,-4.44,1.08,-2.92
Bart Verbruggen,Brighton,0.59,-4.45,1.33,-2.53
Alphonse Areola,West Ham,0.3,-4.55,1.49,-2.76
Stefan Ortega,Manchester City,0.34,-4.56,1.5,-2.72
Guglielmo Vicario,Tottenham,0.44,-4.64,1.43,-2.77
Antonín Kinský,Tottenham,0.32,-4.83,1.52,-2.99
Cameron Archer,Southampton,-0.0,-4.83,-0.85,-5.68
William Smallbone,Southampton,2.02,-4.88,-0.28,-3.14
Gonçalo Guedes,Wolves,4.09,-4.88,-0.66,-1.45
Łukasz Fabiański,West Ham,0.43,-5.36,1.33,-3.6
Alex Palmer,Ipswich Town,0.35,-5.52,1.23,-3.94
Sam Johnstone,Wolves,0.45,-5.71,1.64,-3.62
Arijanet Muric,Ipswich Town,0.22,-5.73,1.31,-4.2
Mads Hermansen,Leicester City,0.25,-6.22,1.33,-4.64
Aaron Ramsdale,Southampton,0.22,-6.28,1.36,-4.7
Adam Armstrong,Southampton,1.16,-6.49,-0.67,-6.0
Filip Jørgensen,Chelsea,0.5,-6.58,1.0,-5.08
Christian Walton,Ipswich Town,0.38,-7.2,1.38,-5.44
Fraser Forster,Tottenham,0.37,-7.58,1.0,-6.21
